lead_type,axis_score,name,business_id,toi_code,toi_description,nearest_station,distance_km,best_website,website_status,registered,s_webshop,s_pim,s_data
pim,7,MIP Electronics Oy,1627111-2,46641.0,Sähkölaitteiden tukkukauppa,Savio,1.998,www.mip.fi,live,2000-10-20,5,7,4
pim,7,Fight Ops Oy,2337011-9,46421.0,Vaatteiden tukkukauppa,Pasila,2.552,www.makeyourmark.fi,live,2010-09-14,5,7,4
pim,7,Kryotherm Oy Ab,0942748-1,46842.0,LVI-laitteiden ja -tarvikkeiden tukkukauppa,Savio,2.01,www.kryotherm.fi,live,1993-09-29,5,7,4
pim,7,Jerikom Oy,1955191-0,46641.0,Sähkölaitteiden tukkukauppa,Lahti,1.21,www.jerikom.fi,live,2005-04-04,5,7,4
pim,7,OP Trade And Service Oy,2344046-3,46649.0,Muu muualla luokittelematon koneiden ja laitteiden tukkukauppa,Pasila,1.409,www.catec.fi,live,2010-08-11,5,7,4
pim,7,T&T Trading Oy,1964469-0,46421.0,Vaatteiden tukkukauppa,Pasila,0.308,www.gazoz.fi,live,2005-05-16,5,7,4
pim,7,Dayton Group Oy,0745142-9,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Tikkurila,2.924,www.mtoy.fi,live,1989-06-21,5,7,4
pim,7,EM-Kone Oy,0912503-7,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Savio,0.638,www.em-kone.fi,live,1993-03-10,5,7,4
pim,7,Suomen Pikaliitin Oy,1013020-4,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Pasila,2.497,www.suomenpikaliitin.fi,live,1995-04-12,5,7,4
pim,7,Action Road Top Oy,0985244-5,46841.0,Rautakauppatavaroiden tukkukauppa,Lahti,1.926,www.artoy.fi,live,1995-04-26,5,7,4
pim,7,Oy Merilux Ab,0111537-9,46641.0,Sähkölaitteiden tukkukauppa,Pasila,2.417,www.merilux.fi,live,1975-12-19,5,7,4
pim,6,NK-teollisuus Oy,2697309-7,46411.0,Kankaiden ja lankojen tukkukauppa,Kerava,1.887,www.nk-teollisuus.fi,live,2015-06-25,4,6,3
pim,6,VilliHelmi Oy,2049352-7,46499.0,Muu muualla luokittelematon taloustavaroiden tukkukauppa,Tikkurila,0.128,www.villihelmi.fi,live,2006-07-31,5,6,4
pim,6,Getra Oy,2444431-9,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Savio,2.01,www.getra.fi,live,2012-01-01,4,6,3
pim,6,OneMed Group Oy,2039640-1,46462.0,Lääkinnällisten tuotteiden tukkukauppa,Pasila,2.463,www.onemed.com,live,2006-05-29,5,6,4
pim,6,Murri Oy,3267634-7,46641.0,Sähkölaitteiden tukkukauppa,Lahti,1.21,www.murri.fi,live,2022-02-14,4,6,3
pim,6,Artebia Design Oy,0692779-8,46499.0,Muu muualla luokittelematon taloustavaroiden tukkukauppa,Pasila,2.004,www.artebia.fi,live,1988-01-13,5,6,4
pim,6,Ziehm Imaging Oy,1973402-0,46462.0,Lääkinnällisten tuotteiden tukkukauppa,Savio,0.269,www.ziehm.com,live,2005-07-29,5,6,4
pim,6,Nordec Nautic Oy,2039489-5,46495.0,Veneiden ja veneilytarvikkeiden tukkukauppa,Tikkurila,0.017,www.nordecnautic.fi,live,2006-06-01,5,6,4
pim,6,Firex Oy,3297413-3,46842.0,LVI-laitteiden ja -tarvikkeiden tukkukauppa,Lahti,1.785,https://firex.fi/,live,2022-07-06,4,6,3
pim,6,ProNav Oy,2233636-5,46493.0,Veneiden tukkukauppa,Pasila,2.181,www.pronav.fi,live,2008-11-19,5,6,4
pim,6,Parafellows Oy,1785867-9,46492.0,Urheiluvälineiden tukkukauppa,Pasila,2.116,www.parafellows.fi,live,2002-10-08,5,6,4
pim,6,Katajanokan Paperi Oy,1782144-6,46491.0,Paperitarvikkeiden tukkukauppa,Pasila,1.482,www.katajanokanpaperi.fi,live,2002-09-26,5,6,4
pim,6,Hi - Tec Implants Finland Oy Ltd.,1102132-5,46462.0,Lääkinnällisten tuotteiden tukkukauppa,Lahti,0.902,https://www.hitec-implants.com/,live,1998-03-30,5,6,4
pim,6,Eurotermo Trading Oy,3240285-6,46842.0,LVI-laitteiden ja -tarvikkeiden tukkukauppa,Lahti,1.471,www.lvitukku.fi,live,2021-10-14,4,6,3
pim,6,Flying Carpet Oy,2863997-3,46412.0,Muu tekstiilien tukkukauppa,Tikkurila,2.202,www.flyingcarpet.fi,live,2017-11-15,4,6,3
pim,6,Abrosa Baltic Oy,2774053-5,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Savio,0.269,https://abrosa.lt/,live,2016-08-22,4,6,3
pim,6,Filterit Oy,2781538-1,46649.0,Muu muualla luokittelematon koneiden ja laitteiden tukkukauppa,Pasila,0.691,https://filterit.fi/,live,2016-12-31,4,6,3
pim,6,GE Healthcare Oy,1897088-1,46462.0,Lääkinnällisten tuotteiden tukkukauppa,Pasila,0.672,https://www.gehealthcare.fi/about/ge-healthcare-offices-in-finland,live,2004-12-31,5,6,4
pim,6,Plastcenter Nordic Oy,2307321-0,46491.0,Paperitarvikkeiden tukkukauppa,Pasila,2.515,www.plastcenternordic.fi,live,2010-01-13,5,6,4
pim,6,Suomen Ladun Palveluyhtiö Oy,1040512-4,46492.0,Urheiluvälineiden tukkukauppa,Pasila,1.344,www.suomenlatu.fi,live,1995-12-29,5,6,4
pim,6,Putinki Art Oy,1040942-4,46491.0,Paperitarvikkeiden tukkukauppa,Pasila,1.847,www.putinki.fi,live,1996-02-14,5,6,4
pim,6,Green Attachments Oy,2799121-1,46630.0,Kaivos- ja rakennuskoneiden tukkukauppa,Lahti,3.004,www.greenattachments.com,live,2016-12-29,4,6,3
pim,6,Alps Finland Ab Oy,3153028-2,46412.0,Muu tekstiilien tukkukauppa,Pasila,3.034,www.pals.fi,live,2020-08-24,4,6,3
pim,6,Labo Line Oy,0918872-4,46462.0,Lääkinnällisten tuotteiden tukkukauppa,Pasila,0.691,https://laboline.fi/,live,1993-03-24,5,6,4
pim,6,Nevotex Suomi Oy,2815851-2,46412.0,Muu tekstiilien tukkukauppa,Lahti,0.994,www.nevotex.fi,live,2017-03-15,4,6,3
pim,6,Spraystore Finland Oy,3523131-9,46630.0,Kaivos- ja rakennuskoneiden tukkukauppa,Kerava,1.369,www.spraystore.fi,live,2025-04-09,4,6,3
pim,6,Rapala VMC North Europe Oy,0895426-3,46492.0,Urheiluvälineiden tukkukauppa,Pasila,1.482,https://rapalavmc.com/contact/,live,1992-11-11,5,6,4
pim,6,LO-Tarvike Oy,0890744-0,46491.0,Paperitarvikkeiden tukkukauppa,Pasila,0.303,https://www.lo-tarvike.com/446215,live,1992-05-20,5,6,4
pim,6,Anna Koo Oy,0633164-4,46499.0,Muu muualla luokittelematon taloustavaroiden tukkukauppa,Pasila,2.224,www.annakoo.fi,live,1986-08-28,5,6,4
pim,6,Norwegian Concept AB,3337088-4,46421.0,Vaatteiden tukkukauppa,Lahti,2.007,norwegianconcept.no,live,,4,6,3
pim,6,Atmas Group Oy,3342182-1,46649.0,Muu muualla luokittelematon koneiden ja laitteiden tukkukauppa,Pasila,2.928,www.atmasgroup.com,live,2023-02-06,4,6,3
pim,6,Amoena Finland Oy,1015539-9,46462.0,Laboratorio- ja sairaanhoitovälineiden tukkukauppa,Pasila,0.663,www.amoweb.fi,live,1995-06-14,5,6,4
pim,6,Prodmac Oy,2400573-8,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Kerava,0.803,www.prodmac.fi,live,2011-04-11,4,6,3
pim,6,Ernst Textil Aktiebolag filial i Finland,2409721-4,46411.0,Kankaiden ja lankojen tukkukauppa,Lahti,3.007,www.ernsttextil.se,live,2011-06-22,4,6,3
pim,6,Protective Gear Finland Oy,2784923-1,46421.0,Vaatteiden tukkukauppa,Pasila,2.613,www.zoombang.fi,live,2016-10-04,4,6,3
pim,6,Eurocore Global Oy,3517112-5,46649.0,Muu muualla luokittelematon koneiden ja laitteiden tukkukauppa,Pasila,2.93,www.eurocoreglobal.com,live,2025-03-26,4,6,3
pim,6,Dayton Oy,2511986-8,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Tikkurila,2.924,www.dayton.fi,live,2012-11-29,4,6,3
pim,6,EPS International Oy,2605473-6,46649.0,Muu muualla luokittelematon koneiden ja laitteiden tukkukauppa,Tikkurila,1.511,www.epsi.fi,live,2014-03-06,4,6,3
pim,6,iLink Finland Oy,2210267-3,46462.0,Lääkinnällisten tuotteiden tukkukauppa,Lahti,0.979,www.ilink.fi,live,2008-08-25,5,6,4
pim,6,PL Parts Oy,3126790-4,46841.0,Rautakauppatavaroiden tukkukauppa,Savio,2.01,www.plvaraosat.fi,live,2020-04-06,4,6,3
pim,6,Oy Joal Engineering Ab,2961950-1,46641.0,Sähkölaitteiden tukkukauppa,Pasila,2.447,https://www.joal.fi,live,2019-01-11,4,6,3
pim,6,Takeda Oy,1703775-8,46461.0,Lääkkeiden tukkukauppa,Pasila,1.164,https://www.takeda.com/fi-fi/,live,2001-10-31,5,6,4
data,6,Posti Logistiikkaratkaisut Oy,0775983-7,52211.0,Tavaratieliikenteen terminaalitoiminta,Pasila,3.034,www.posti.com,live,1989-12-13,3,2,6
data,6,Länsi-Pasilan Autopaikat Oy,0356855-8,52212.0,Maksullinen pysäköinti,Pasila,0.247,www.pasilanpysakointi.fi,live,1980-03-07,3,2,6
data,6,Olavi Leppänen & Co,0291360-4,49330.0,Kutsuttaessa saatavilla oleva henkilökuljetus,Pasila,2.456,meneva.fi,live,1962-12-07,3,2,6
data,6,Posti Teollisuusratkaisut Oy,1646732-6,52100.0,Varastointi,Pasila,3.034,www.posti.com,live,2001-02-12,3,2,6
data,6,Frigoscandia Oy,1633378-2,52291.0,Huolinta ja rahtaus,Savio,0.432,www.frigoscandia.com,live,2000-11-09,3,2,6
data,6,Itäkeskuksen Pysäköintitalo Oy,0757505-0,52212.0,Maksullinen pysäköinti,Tikkurila,0.246,www.rettaisannointi.fi,live,1989-04-19,3,2,6
data,6,Kuljetusliike Eino Ojansuu & Co,0220237-8,49330.0,Kutsuttaessa saatavilla oleva henkilökuljetus,Pasila,2.456,www.helsingintaksipalvelu.fi,live,1959-06-12,3,2,6
data,6,Finline Evro Trans Oy,2165647-1,52250.0,Logistiikkapalvelut,Savio,2.01,www.finline.fi,live,2008-01-21,3,2,6
data,6,Nosto ja kuljetus A P V Oy,2310211-4,49410.0,Tieliikenteen tavarankuljetus,Tikkurila,0.736,www.nostojakuljetusapv.fi,live,2010-01-21,3,2,6
data,6,Kuljetus Arto Järvimäki Oy,0788108-2,49410.0,Tieliikenteen tavarankuljetus,Savio,0.612,www.jarvimaki.com,live,1990-03-21,3,2,6
data,6,Paul Rehn Oy Ab,0800576-2,49410.0,Tieliikenteen tavarankuljetus,Tikkurila,1.925,www.paulrehn.fi,live,1988-10-26,3,2,6
data,6,Jääsaukko Oy,0808329-3,52100.0,Varastointi,Pasila,2.515,www.saukko.fi,live,1990-09-05,3,2,6
data,6,Trans World Shipping Oy,1950025-9,52250.0,Logistiikkapalvelut,Kerava,0.29,www.tws.fi,live,2005-03-21,3,2,6
data,6,Fenniarail Oy,2261575-1,49200.0,Raideliikenteen tavarankuljetus,Pasila,0.211,www.fenniarail.fi,live,2009-05-18,3,2,6
data,6,Tuomarilan Pysäköintilaitos Oy,1810909-8,52212.0,Maksullinen pysäköinti,Pasila,2.497,www.kontuoy.fi,live,2003-02-21,3,2,6
data,6,SOS International Oy,2083957-5,52219.0,Muu maaliikennettä palveleva toiminta,Pasila,0.939,https://www.sos.eu/fi/meistae/,live,2007-01-03,3,2,6
data,6,RaLog Oy,1820357-8,52250.0,Logistiikkapalvelut,Kerava,0.636,www.ralog.fi,live,2003-05-07,3,2,6
data,6,Exim Service Europe Oy,2267714-3,52250.0,Logistiikkapalvelut,Tikkurila,0.663,www.eximservice.fi,live,2009-07-03,3,2,6
data,6,Taksi Helsinki Oy,0838031-9,52310.0,Rahtiliikennettä koskevat välityspalvelut,Pasila,0.352,https://taksihelsinki.fi/en/kela-taxi/,live,1990-11-21,3,2,6
data,6,Lentoparkki Oy,1495885-0,52212.0,Maksullinen pysäköinti,Tikkurila,2.96,www.lentoparkki.fi,live,1998-10-08,3,2,6
data,6,Suomen Turistiauto Oy,0151275-3,49310.0,Tieliikenteen säännöllinen henkilökuljetus,Lahti,0.907,www.lehtimakitilausajot.fi,live,1969-02-07,3,2,6
data,6,A2B Turku Oy,0968725-9,49410.0,Tieliikenteen tavarankuljetus,Pasila,2.497,www.a2b.fi,live,1994-06-01,3,2,6
data,6,Kaivolan Kuljetus Oy,0148902-0,49410.0,Tieliikenteen tavarankuljetus,Lahti,0.95,https://kaivolankuljetus.fi/,live,1970-12-23,3,2,6
data,6,Kuljetus Reen Oy,0863090-4,49410.0,Tieliikenteen tavarankuljetus,Pasila,2.515,www.reen.fi,live,1991-06-05,3,2,6
data,6,Vekka Group Oy,0146866-8,49310.0,Tieliikenteen säännöllinen henkilökuljetus,Lahti,0.907,www.vekkagroup.fi,live,1943-01-29,3,2,6
data,6,R.A. Rajala Oy,1027555-0,49410.0,Tieliikenteen tavarankuljetus,Lahti,2.16,https://rarajala.fi/,live,1995-10-25,3,2,6
data,6,Rolly Uusimaa Oy,1780028-2,49330.0,Kutsuttaessa saatavilla oleva henkilökuljetus,Tikkurila,1.511,www.rolly.fi,live,2002-09-30,3,2,6
data,6,Airlog Group Oy,2298909-1,49410.0,Tieliikenteen tavarankuljetus,Pasila,1.847,www.airloggroup.fi,live,2009-12-02,3,2,6
data,6,Ruohoparkki Oy,1107843-6,52212.0,Maksullinen pysäköinti,Tikkurila,0.663,www.oi.fi,live,1997-12-23,3,2,6
data,6,Hämeen Kuljetuspiste Oy,0587607-9,49410.0,Tieliikenteen tavarankuljetus,Pasila,0.308,www.kuljetuspiste.com,live,1984-12-05,3,2,6
data,6,Conceptum Logistics (Finland) Oy Ltd,2339338-8,52250.0,Logistiikkapalvelut,Pasila,2.12,www.conceptum-logistics.com,live,2010-06-30,3,2,6
data,6,Malmin Pysäköintitalo Oy,0597314-3,52212.0,Maksullinen pysäköinti,Tikkurila,0.246,www.rettaisannointi.fi,live,1985-04-25,3,2,6
data,6,Aimo Park Finland Oy,2208141-1,52212.0,Maksullinen pysäköinti,Pasila,0.672,www.aimopark.fi,live,2008-12-31,3,2,6
data,6,Riverson Oy,1086267-5,52100.0,Varastointi,Pasila,0.663,riverson.fi,live,1996-10-23,3,2,6
data,6,Posti Satamalogistiikka Oy,1090596-2,52250.0,Logistiikkapalvelut,Pasila,3.034,www.posti.com,live,1997-03-27,3,2,6
data,6,Kuljetusliike Kai Laiso & Co,0624295-9,49330.0,Kutsuttaessa saatavilla oleva henkilökuljetus,Tikkurila,1.676,edustusajot.fi,live,1962-11-30,3,2,6
data,6,Oy Tecmarin Ship Supply Ab,0625818-4,52250.0,Logistiikkapalvelut,Tikkurila,2.943,www.tecmarin.fi,live,1986-08-28,3,2,6
data,6,Pynnönen International Oy,0632634-3,49410.0,Tieliikenteen tavarankuljetus,Kerava,2.126,www.pynnonen.fi,live,1986-03-20,3,2,6
data,6,Lintulammenkadun Pysäköintilaitos oy,1708580-5,52212.0,Maksullinen pysäköinti,Tikkurila,0.246,www.rettaisannointi.fi,live,2001-07-09,3,2,6
data,6,Rolly Helsinki Oy,1702534-3,52310.0,Rahtiliikennettä koskevat välityspalvelut,Tikkurila,1.511,www.rolly.fi,live,2001-09-30,3,2,6
data,6,Itä-Pasilan Pysäköinti Oy,0502469-3,52212.0,Maksullinen pysäköinti,Pasila,0.247,www.pasilanpysakointi.fi,live,1982-12-23,3,2,6
data,6,Posti Logistiikkaratkaisut Länsi-Suomi Oy,1744451-3,52250.0,Logistiikkapalvelut,Pasila,3.034,www.posti.com,live,2002-02-13,3,2,6
data,6,Jatumi Oy,2335916-3,49410.0,Tieliikenteen tavarankuljetus,Lahti,0.92,https://www.jatumi.fi/,live,2010-06-08,3,2,6
data,6,MH System Oy,2335216-4,49410.0,Tieliikenteen tavarankuljetus,Tikkurila,2.042,www.mhsystem.fi,live,2010-06-04,3,2,6
data,6,LEMAN Oy,1999764-8,52250.0,Logistiikkapalvelut,Tikkurila,2.735,www.leman.dk,live,2005-11-16,3,2,6
data,6,Rolly Raseborg Ab,2220954-2,49320.0,Tieliikenteen muu kuin säännöllinen henkilökuljetus,Tikkurila,1.511,www.rolly.fi,live,2008-09-29,3,2,6
data,6,Tilataksi Koskinen Oy,1054432-7,49330.0,Kutsuttaessa saatavilla oleva henkilökuljetus,Lahti,1.48,www.tilataksikoskinen.fi,live,1996-06-24,3,2,6
data,6,A to B Finland Oy,2330772-6,52250.0,Logistiikkapalvelut,Pasila,2.497,www.a2b.fi,live,2010-04-27,3,2,6
data,6,ALS Logistics Oy,2047540-9,52250.0,Logistiikkapalvelut,Tikkurila,1.603,www.alslog.com,live,2006-07-25,3,2,6
data,6,Kilon Osuus-Auto,0684427-1,49410.0,Tieliikenteen tavarankuljetus,Kerava,2.187,www.koa.fi,live,1987-12-09,3,2,6
data,6,Alfa Mobility Finland Oy,2049536-2,49420.0,Muuttopalvelut,Pasila,0.939,www.alfamoving.com,live,2006-07-28,3,2,6
data,6,Citysaukko Oy,0415102-5,49410.0,Tieliikenteen tavarankuljetus,Pasila,2.515,www.saukko.fi,live,1962-08-24,3,2,6
data,6,Taksikuljetukset Harri Vuolle Oy,1904945-3,49330.0,Kutsuttaessa saatavilla oleva henkilökuljetus,Tikkurila,2.866,www.taksikuljetukset.fi,live,2004-07-20,3,2,6
data,6,Strömbergin Pysäköinti Oy,1073232-8,52212.0,Maksullinen pysäköinti,Pasila,2.497,www.kontuoy.fi,live,1996-10-18,3,2,6
data,6,Spedman Global Logistics Oy,0894922-9,52250.0,Logistiikkapalvelut,Pasila,2.181,www.spedman.com,live,1992-06-24,3,2,6
data,6,Bussialan Kehittämispalvelut Oy,0954004-6,52219.0,Muu maaliikennettä palveleva toiminta,Pasila,2.617,www.bak.fi,live,1993-12-29,3,2,6
data,6,Threeson OY,0884861-2,49410.0,Tieliikenteen tavarankuljetus,Lahti,1.48,http://www.threeson.fi/,live,1992-04-01,3,2,6
data,6,John Nurminen Oy,2139209-0,52250.0,Logistiikkapalvelut,Pasila,0.375,https://www.johnnurminen.com/,live,2008-01-01,3,2,6
data,6,EuroPark Finland Oy,1544350-9,52212.0,Maksullinen pysäköinti,Pasila,2.896,www.europark.fi,live,1998-10-30,3,2,6
data,6,Pääkaupunkiseudun Junakalusto Oy,1874314-4,52219.0,Muu maaliikennettä palveleva toiminta,Pasila,0.395,www.junakalusto.fi,live,2004-03-03,3,2,6
data,6,Movere Oy,0948460-3,52310.0,Rahtiliikennettä koskevat välityspalvelut,Lahti,1.785,https://www.movere.fi/,live,1993-06-30,3,2,6
data,6,Power-Logistics Oy,0946759-8,49410.0,Tieliikenteen tavarankuljetus,Tikkurila,2.924,www.powerlogistics.fi,live,1993-08-18,3,2,6
data,6,Balanced Logistics Oy,2298662-4,52250.0,Logistiikkapalvelut,Tikkurila,1.511,https://www.balancedlogistics.fi,live,2010-01-19,3,2,6
data,6,KOA Lift Oy,2126169-9,49410.0,Tieliikenteen tavarankuljetus,Kerava,2.187,www.koa.fi,live,2007-07-12,3,2,6
data,6,CharterCab Oy,1858719-6,49330.0,Kutsuttaessa saatavilla oleva henkilökuljetus,Pasila,0.884,www.chartercab.fi,live,2003-10-23,3,2,6
data,5,DACHSER Finland Oy,2599717-7,52250.0,Logistiikkapalvelut,Savio,0.432,www.dachser.fi,live,2014-02-11,2,1,5
data,5,Avain Parkki Oy,3238748-1,52212.0,Maksullinen pysäköinti,Pasila,2.304,www.avainasunnot.fi,live,2021-10-15,2,1,5
data,5,Kuulotekniikka Hakala Oy,2235208-2,86990.0,Muualla luokittelematon muu terveyspalvelutoiminta,Pasila,1.164,www.kuulotekniikka.com,live,2009-04-30,2,2,5
data,5,Magnus Malmberg Oy,1041135-6,71123.0,Rakennetekninen palvelu,Kerava,0.197,www.sipti.fi,live,1995-12-29,2,2,5
data,5,A1 Arkkitehdit Oy,2326852-8,71110.0,Arkkitehtipalvelut,Lahti,2.185,www.a1arkkitehdit.fi,live,2010-04-29,2,2,5
data,5,VarKul Oy,3252461-8,52250.0,Logistiikkapalvelut,Lahti,2.845,www.varkul.fi,live,2021-12-13,2,1,5
data,5,Olars Mestarit Oy,2684823-7,49410.0,Tieliikenteen tavarankuljetus,Savio,1.36,https://www.olars.fi/,live,2015-04-23,2,1,5
data,5,Postitalon Hammaslääkärit Oy,1982761-4,86230.0,Hammaslääkäripalvelut,Pasila,3.034,www.postitalonhammaslaakarit.fi,live,2005-09-13,2,2,5
data,5,Launear Oy,2712552-4,49420.0,Muuttopalvelut,Savio,0.269,www.muuttotamminen.fi,live,2015-09-23,2,1,5
data,5,Kiwa Oy,1787853-0,71202.0,Muu tekninen testaus ja analysointi,Pasila,2.12,www.kiwa.com/fi,live,2002-10-09,2,2,5
data,5,Säiliöhepo Oy,2241416-7,71202.0,Muu tekninen testaus ja analysointi,Lahti,2.56,www.sailiohepo.fi,live,2009-04-30,2,2,5
data,5,Etelä-Savon Mielenterveys Oy,1878248-5,86100.0,Terveydenhuollon laitospalvelut,Pasila,2.116,www.esperi.fi,live,2004-02-23,2,2,5
data,5,Lundén Architecture Oy,2229148-6,71110.0,Arkkitehtipalvelut,Pasila,2.216,www.lunden.co,live,2008-11-07,2,2,5
data,5,NCC Property Development Oy,1765519-3,71126.0,Muu rakennustekninen palvelu,Pasila,1.366,https://www.ncc.com/about-ncc/ncc-property-development/,live,2003-01-01,2,2,5
data,5,Ankkurin Asukaspysäköinti Oy,3234527-3,52212.0,Maksullinen pysäköinti,Lahti,1.471,www.reim.fi,live,2021-11-01,2,1,5
data,5,Open Ocean Capital Oy,2293434-9,64210.0,Holdingyhtiöiden toiminta,Pasila,3.062,https://openocean.vc/,live,2009-10-26,2,2,5
data,5,Cormet Oy,1052574-0,71129.0,Muu tekninen palvelu,Tikkurila,2.866,www.cormet.fi,live,1996-05-07,2,2,5
data,5,Fysio-Hoito Askeleet avoin yhtiö,1863572-5,86950.0,Fysioterapiapalvelut,Kerava,0.814,www.ratsastuspilates.fi,live,2003-12-17,2,2,5
data,5,Ahma insinöörit Oy,1785621-9,71129.0,Muu tekninen palvelu,Pasila,2.32,www.ahmagroup.com,live,2002-10-11,2,2,5
data,5,Helsingin kuivaustekniikka Oy,2321935-5,71126.0,Muu rakennustekninen palvelu,Tikkurila,2.866,www.hekutek.fi,live,2010-04-01,2,2,5
data,5,Arkkitehtitoimisto Karin Krokfors Oy,1030707-3,71110.0,Arkkitehtipalvelut,Pasila,2.366,www.karinkrokfors.fi,live,1995-11-22,2,2,5
data,5,Researchwise VPL Oy,0945358-3,86990.0,Muualla luokittelematon muu terveyspalvelutoiminta,Pasila,1.408,https://researchwise.beehiiv.com/,live,1993-06-16,2,2,5
data,5,PDS-Suunnittelu Oy,0722846-2,71129.0,Muu tekninen palvelu,Pasila,1.474,https://www.pds.fi/,live,1989-04-19,2,2,5
data,5,Studio Terra Oy,1028899-2,71110.0,Arkkitehtipalvelut,Pasila,1.289,www.studioterra.fi,live,1995-12-07,2,2,5
data,5,Matti Eklund Oy,1032738-1,71126.0,Muu rakennustekninen palvelu,Kerava,0.305,https://mattieklund.fi/,live,1995-12-13,2,2,5
data,5,Marjalinna Oy,1033587-5,86990.0,Muualla luokittelematon muu terveyspalvelutoiminta,Pasila,2.116,www.esperi.fi,live,1995-12-13,2,2,5
data,5,Arkkitehtitoimisto Lehto Peltonen Valkama Oy,0713443-1,71110.0,Arkkitehtipalvelut,Pasila,0.939,www.lpv.fi,live,1988-09-14,2,2,5
data,5,Planimo Oy,2318490-6,71123.0,Rakennetekninen palvelu,Savio,0.269,https://planimo.fi/,live,2010-03-01,2,2,5
data,5,Maisemakonttori Oy,1974745-4,71121.0,Yhdyskuntasuunnittelu,Pasila,1.654,www.maisema.net,live,2005-07-14,2,2,5
data,5,Halvat Huvit Oy,3319014-6,49330.0,Kutsuttaessa saatavilla oleva henkilökuljetus,Lahti,0.759,https://lahentaksi.fi,live,2022-10-19,2,1,5
data,5,Insinööritoimisto Thelec Oy,1780321-3,71125.0,Sähkötekninen suunnittelu,Savio,0.269,https://www.thelec.fi/,live,2002-09-11,2,2,5
data,5,Vuokraturva-sopimus Oy,2237926-9,64990.0,Muualla luokittelematon muu rahoituspalvelutoiminta pois lukien vakuutus- ja eläkevakuutustoiminta,Pasila,0.817,https://www.vuokraturva.fi/,live,2008-12-30,2,2,5
data,5,Pihanne Oy,1035098-7,71121.0,Yhdyskuntasuunnittelu,Pasila,1.485,https://pihanne.fi/,live,1995-12-13,2,2,5
data,5,Piha- ja puistosuunnittelu Pirttijärvi Oy,1977659-7,71121.0,Yhdyskuntasuunnittelu,Pasila,0.441,www.pihajapuistosuunnittelu.fi,live,2005-08-17,2,2,5
data,5,Kuulo ja Apuvälinepalvelu Eerikkilä Oy,2235743-0,86990.0,Muualla luokittelematon muu terveyspalvelutoiminta,Tikkurila,0.605,www.kuulojaapuvalinepalvelu.fi,live,2008-12-12,2,2,5
